q_id,web_list
90,"[1130,1177,1135,1162,323]"
91,"[687,688,1125,1655,1155]"
92,"[618,868,455,116,1694]"
93,"[677,1931,1932,190,1602]"
94,"[116,1731,1750,338,1067]"
95,"[455,1207,116,37,1618]"
96,"[1763,852,1157,1104,1894]"
97,"[1863,290,1935,1008,927]"
98,"[368,1733,372,1040,412]"
99,"[1576,313,1051,1605,846]"
100,"[114,1113,1617,1611,1070]"
101,"[1030,1131,820,1066,1068]"
102,"[496,718,481,1607,1808]"
103,"[1659,1091,153,1032,719]"
104,"[926,455,1125,1617,1555]"
105,"[1263,1202,410,1641,1749]"
106,"[1075,1008,1014,1001,247]"
107,"[1148,344,1058,697,1599]"
108,"[1057,394,388,1019,661]"
109,"[313,116,1694,781,618]"
110,"[116,1694,868,618,1748]"
111,"[1915,824,823,1279,722]"
112,"[886,1042,1193,419,1037]"
113,[]
114,"[1068,1900,425,446,89]"
115,"[1068,305,1257,455,289]"
116,"[921,1025,1586,1909,1193]"
117,"[1257,255,319,1075,1671]"
118,"[432,1609,1202,410,1080]"
119,"[280,1067,618,1024,996]"
120,"[661,1057,1262,388,1022]"
121,"[612,455,116,1676,1248]"
122,"[671,886,398,789,428]"
123,"[1064,1034,1202,410,541]"
124,"[1581,195,467,147,198]"
125,"[1001,1098]"
126,"[1733,1068,60,412,628]"
127,"[1676,29,116,1618,412]"
128,"[618,114,1611,1113,868]"
129,"[455,90,666,643,757]"
130,"[102,1746,1519,1321,1644]"
131,[]
132,"[1907,1618,1401,786,108]"
133,"[128,1733,412,116,1924]"
134,"[1924,1043,1935,1008,663]"
135,"[90,1765,1777,510,822]"
136,[]
137,"[1608,1607,1517,1157,801]"
138,"[1618,1896,1066,1907,409]"
139,"[868,612,1748,412,618]"
140,"[1142,394,1769,83,278]"
141,"[28,1343,415,108,1721]"
142,"[862,1899,1526,901,1030]"
143,"[1748,1694,1193,116,618]"
144,"[259,439,368,1192,856]"
145,"[1011,1630,1464,1186,1050]"
146,[]
147,"[290,1863,1935,1676,618]"
148,"[1061,1618,168,1032,368]"
149,"[1570,372,368,455,862]"
150,"[901,1488,28,674,1157]"
151,"[1915,1202,410,1651,885]"
152,"[1113,114,1066,1569,646]"
153,"[1042,1043,1029,886,1193]"
154,"[298,1516,324,1041,1603]"
155,"[1726,1601,846,692,1604]"
156,[]
157,"[1296,511,1239,1765,1777]"
158,"[1071,1807,101,811,1588]"
159,"[692,1112,1040,1726,846]"
160,"[1202,410,1026,1046,470]"
161,"[1071,868,1748,1807,128]"
162,"[116,1694,24,1549,417]"
163,"[1147,1388,1618,89,476]"
164,"[1599,697,349,1017,1066]"
165,"[1770,1894,907,123,1863]"
166,"[1287,1895,828,1877,1785]"
167,"[793,1313,1700,1541,1746]"
168,"[288,967,1149,1050,190]"
169,"[275,1016,1630,280,136]"
170,"[1263,1202,410,1041,1902]"
171,"[1673,892,1019,1886,125]"
172,"[1907,1159,1618,1257,1775]"
173,"[47,1314,1050,856,401]"
174,"[128,1733,412,868,314]"
175,"[1742,1313,863,865,1747]"
176,"[1901,375,297,1547,1282]"
177,"[501,1239,1765,1777,1677]"
178,"[1022,1748,868,326,1043]"
179,"[444,7,1092,1087,708]"
180,"[624,1915,868,1748,324]"
181,"[372,1570,1121,645,1557]"
182,"[455,1157,368,862,1113]"
183,"[1037,1067,89,1915,101]"
184,"[824,823,1279,722,374]"
185,"[1909,1072,1193,1752,1326]"
186,"[455,501,1720,368,1809]"
187,"[1750,614,113,618,125]"
188,"[1884,1040,257,377,137]"
189,[]
190,"[1137,891,1915,1064,1041]"
191,"[481,1200,825,1808,454]"
192,"[501,901,1756,1765,1777]"
193,"[624,1277,697,1018,1130]"
194,"[1618,1043,1892,1907,113]"
195,"[430,1259,1260,1261,1256]"
196,"[1807,1071,1795,1073,103]"
197,"[773,765,373,745,705]"
198,"[618,412,1676,868,612]"
199,"[1923,863,1747,865,1654]"
200,"[309,128,1067,116,1642]"
201,"[1193,1025,868,1748,927]"
202,"[1676,455,1909,1618,114]"
203,"[878,922,1269,101,1915]"
204,"[1607,1608,18,1517,1532]"
205,"[1924,455,1763,698,1799]"
206,[]
207,"[48,868,1748,291,338]"
208,"[1366,1481,109,1040,631]"
209,"[1160,1808,1298,190,89]"
210,"[823,198,374,917,988]"
211,"[1924,1750,478,1746,48]"
212,"[116,1694,618,125,868]"
213,"[114,412,411,116,455]"
214,"[1675,574,902,586,585]"
215,"[1913,697,1599,1762,1758]"
216,"[114,1611,455,1113,1733]"
217,[]
218,"[1885,1041,464,1887,1886]"
219,"[1733,412,408,455,618]"
220,"[1733,412,1044,402,408]"
221,"[108,1721,1042,1608,212]"
222,"[341,1066,1073,1910,374]"
223,"[688,653,1273,324,1770]"
224,"[1896,1618,409,1907,1192]"
225,"[1765,1777,1756,529,1874]"
226,"[1676,618,412,612,1248]"
227,"[432,1907,1522,159,937]"
228,"[1910,375,1074,454,903]"
229,"[1040,718,1655,1064,368]"
230,"[688,324,692,1017,1034]"
231,"[1249,1417,1869,396,1662]"
232,"[1599,697,1043,1023,1565]"
233,"[114,455,116,1726,1601]"
234,"[927,737,884,719,332]"
235,"[677,1043,372,1040,1620]"
236,"[455,926,292,1125,1617]"
237,"[505,1874,1926,519,1237]"
238,"[796,677,1043,1249,936]"
239,"[439,1274,631,349,1166]"
240,"[921,470,620,1675,1248]"
241,"[455,1157,368,862,1113]"
242,"[1588,1906,1921,1351,1528]"
243,"[1618,1885,1808,901,1805]"
244,"[1896,922,409,98,114]"
245,"[1924,478,1886,90,1869]"
246,"[455,116,1917,1902,408]"
247,"[666,633,637,642,651]"
248,"[1733,412,1639,411,455]"
249,"[390,1191,903,1726,846]"
250,[]
251,"[1921,1601,467,888,1726]"
252,"[1676,1043,612,116,455]"
253,"[849,369,1680,1066,289]"
254,"[51,847,306,1116,6]"
255,"[628,334,1795,665,1531]"
256,"[1157,1035,368,1072,81]"
257,"[677,376,481,891,886]"
258,"[501,1863,1765,1777,1404]"
259,"[1915,1748,1040,978,868]"
260,"[406,407,1086,223,428]"
261,"[494,1453,101,1310,1764]"
262,"[1886,892,1249,1891,1626]"
263,"[455,1029,419,1025,1193]"
264,"[89,1733,698,1609,374]"
265,"[1067,1924,90,478,1104]"
266,"[412,618,612,415,416]"
267,"[1676,891,618,1638,868]"
268,"[1924,870,786,783,478]"
269,"[683,693,718,700,1615]"
270,"[328,380,327,332,284]"
271,"[51,847,1630,1358,927]"
272,"[255,1488,1027,363,1052]"
273,"[618,1915,114,102,96]"
274,"[1193,927,1909,1033,1034]"
275,"[1721,992,1011,1765,1777]"
276,"[511,1647,1765,1777,1325]"
277,"[1733,259,1296,1785,224]"
278,"[612,1248,1676,113,414]"
279,"[409,102,1555,108,1491]"
280,[]
281,"[1191,1618,1904,1607,1896]"
282,"[1891,1762,1758,1612,1906]"
283,"[368,455,862,1157,1113]"
284,"[1676,612,1248,113,1239]"
285,"[370,1609,89,1808,1919]"
286,"[1676,618,868,1748,1675]"
287,"[862,455,368,1088,1157]"
288,[]
289,"[618,1676,114,612,412]"
290,"[1924,478,128,116,1750]"
291,"[677,89,1766,376,1906]"
292,"[1191,1239,1886,1255,1894]"
293,"[389,420,1077,369,372]"
294,"[1927,1907,1072,900,1069]"
295,"[339,1917,190,1639,1739]"
296,"[677,612,1676,1248,1239]"
297,"[1917,1034,1041,1574,785]"
298,"[116,819,1067,454,1043]"
299,"[432,1656,1677,782,1884]"
300,"[1749,1202,410,496,718]"
301,"[796,1043,1808,1869,1886]"
302,"[891,858,349,313,1917]"
303,"[677,117,376,1296,1869]"
304,"[1924,116,1750,478,993]"
305,[]
306,"[1728,394,1732,1167,1163]"
307,"[1068,1030,418,462,1240]"
308,"[886,1042,419,1193,1909]"
309,"[1733,1775,1769,412,1639]"
310,"[135,1067,116,339,1768]"
311,"[868,1748,116,1694,618]"
312,"[1516,1603,400,101,1795]"
313,"[1861,1855,1866,1865,1863]"
314,"[1295,309,1087,1081,1123]"
315,"[406,407,419,722,1548]"
316,"[432,1609,1202,410,1080]"
317,"[455,1610,116,1656,114]"
318,"[677,1900,376,1158,890]"
319,"[1137,333,1077,1048,114]"
320,"[190,340,1932,162,919]"
321,"[1924,1696,1907,1697,1699]"
322,"[372,116,1676,29,612]"
323,"[832,1344,1049,83,1250]"
324,"[116,618,1639,1733,455]"
325,"[1869,1886,1301,1068,353]"
326,"[1607,773,765,366,373]"
327,"[1014,1899,1913,102,96]"
328,"[885,442,926,102,862]"
329,"[96,97,628,659,334]"
330,"[1863,290,927,1935,398]"
331,"[818,1189,377,317,1137]"
332,"[501,1677,1675,1618,510]"
333,"[501,1765,1777,1809,1506]"
334,"[1607,1517,1608,18,1904]"
335,"[116,868,1694,1748,618]"
336,[]
337,"[1699,1675,1697,1248,1696]"
338,"[868,113,1025,1028,1748]"
339,"[372,1570,1121,645,1557]"
340,"[114,1884,51,510,455]"
341,"[372,1570,1239,116,1676]"
342,"[102,1746,409,667,96]"
343,"[455,454,1121,1022,1307]"
344,"[116,1694,868,618,1659]"
345,"[277,219,811,838,1096]"
346,"[114,455,1676,618,612]"
347,"[692,693,888,1601,1921]"
348,"[677,9,36,618,116]"
349,"[1064,257,455,379,339]"
350,"[1775,1769,1040,788,108]"
351,"[1924,478,1884,1748,786]"
352,"[1570,372,368,455,862]"
353,[]
354,"[1193,1909,921,1694,1618]"
355,"[677,1638,1900,1202,410]"
356,"[89,885,285,113,455]"
357,"[455,116,1924,1610,412]"
358,"[677,376,377,1436,1869]"
359,"[1137,18,891,1344,1915]"
360,"[1913,1041,1043,1574,785]"
361,"[886,1042,1026,1749,1909]"
362,"[1041,1574,785,1029,1034]"
363,"[1676,113,618,1638,868]"
364,"[1041,1574,785,1029,1034]"
365,"[432,1609,1202,410,1080]"
366,"[1127,1750,289,1092,1067]"
367,"[1270,1784,108,1710,269]"
368,"[1909,1193,1752,1326,1340]"
369,"[1290,398,89,90,1690]"
370,"[89,340,1795,1516,1134]"
371,"[832,1137,1344,1027,377]"
372,[171]
373,"[1733,412,455,411,128]"
374,"[1296,1680,1197,1281,1183]"
375,[]
376,"[688,324,1014,692,858]"
377,"[1148,374,352,1282,616]"
378,"[1188,889,999,368,400]"
379,"[1907,1522,922,1030,1890]"
380,"[1574,1909,1041,785,602]"
381,"[368,1113,455,1269,1]"
382,"[1067,116,1924,128,478]"
383,"[372,501,1765,1777,1506]"
384,"[1909,1574,785,1034,1041]"
385,"[891,46,1066,1599,697]"
386,"[1733,412,618,116,292]"
387,"[372,1733,1185,1098,132]"
388,"[1,1565,1067,368,456]"
389,"[501,1765,1777,886,440]"
390,"[868,1748,1900,1638,1543]"
391,"[818,1189,1926,1931,392]"
392,"[113,1248,409,1025,1897]"
393,"[693,692,379,1133,1577]"
394,"[878,922,1269,101,487]"
395,"[1618,1775,1769,1768,106]"
396,"[677,376,1871,1750,778]"
397,"[114,455,1639,375,1907]"
398,"[89,501,1251,1677,1404]"
399,"[868,128,1748,1733,113]"
400,"[368,291,1618,1098,1116]"
401,"[476,1086,1690,1095,124]"
402,"[1017,116,265,1086,1907]"
403,"[1781,1782,1798,1043,1799]"
404,[]
405,"[501,1765,1777,1809,1506]"
406,"[455,1157,1577,1766,1765]"
407,"[1436,430,1259,1260,1261]"
408,"[1713,334,628,360,1038]"
409,"[1932,891,190,339,1653]"
410,"[1066,1909,1616,1745,1193]"
411,"[1675,1248,1699,1676,29]"
412,"[1726,692,846,1601,693]"
413,"[773,1654,309,1017,965]"
414,"[1297,1695,611,1617,1255]"
415,"[1581,195,467,147,34]"
416,"[128,7,618,89,116]"
417,"[1618,1909,1752,1025,406]"
418,"[1592,1053,1014,1054,868]"
419,"[1157,1035,1186,608,81]"
420,"[1148,1651,918,1051,914]"
421,"[1113,1733,1131,470,620]"
422,"[892,1886,1651,331,1137]"
423,"[1486,816,1340,548,510]"
424,"[765,368,1662,501,1121]"
425,"[1733,90,455,822,666]"
426,"[102,1746,409,98,96]"
427,"[1192,1040,1127,692,451]"
428,"[368,1113,455,1157,372]"
429,"[368,320,278,455,1091]"
430,"[1026,1042,990,1651,211]"
431,"[533,398,306,365,603]"
432,"[819,1043,922,409,102]"
433,"[677,1861,376,1137,918]"
434,"[1193,1733,412,862,455]"
435,"[372,369,1570,1157,1557]"
436,"[501,1756,1765,1777,900]"
437,"[1809,501,1775,1769,1765]"
438,"[1618,619,900,409,1752]"
439,"[625,1755,778,692,1486]"
440,"[1034,1041,1574,785,1017]"
441,"[891,1917,409,858,108]"
442,"[1894,1915,89,101,1032]"
443,[1024]
444,"[455,1570,1157,1557,862]"
445,"[677,891,858,376,349]"
446,"[868,1748,277,1108,1048]"
447,"[1249,1874,113,1870,618]"
448,"[922,1609,1024,1781,481]"
449,"[1071,1907,128,868,1748]"
450,"[1193,1909,1752,1340,1326]"
451,"[90,822,666,643,848]"
452,"[1041,1574,873,785,1315]"
453,"[891,687,1917,858,1134]"
454,"[1041,406,407,1034,919]"
455,"[224,261,259,256,265]"
456,"[102,868,112,1900,96]"
457,"[455,1676,113,116,114]"
458,"[677,612,411,402,1676]"
459,"[1102,1277,1043,1662,309]"
460,"[1862,1867,1859,98,290]"
461,"[338,1011,1111,719,1067]"
462,"[394,1142,1086,1202,410]"
463,"[1067,1713,887,324,1884]"
464,"[116,128,455,1651,1733]"
465,"[1581,195,467,147,34]"
466,"[868,1748,618,113,1915]"
467,"[1764,1759,1916,1652,845]"
468,"[891,1900,1277,868,1748]"
469,"[1570,1733,412,372,1639]"
470,"[1192,1611,811,1610,1028]"
471,"[1255,1304,1301,1250,1339]"
472,"[116,110,1694,618,868]"
473,"[1042,886,1193,1909,1037]"
474,"[1057,278,349,722,1721]"
475,"[677,331,1927,377,964]"
476,"[96,97,290,816,455]"
477,"[1765,1777,1804,1763,1799]"
478,"[1193,1025,927,1034,1900]"
479,"[1913,1674,697,1899,1522]"
480,"[765,368,773,768,373]"
481,[]
482,"[1733,1617,718,412,292]"
483,"[1607,608,1157,1608,643]"
484,"[1884,1040,257,1926,714]"
485,"[1676,868,1807,1748,113]"
486,"[1607,1608,18,1517,1532]"
487,"[1611,98,114,1639,116]"
488,"[1612,1574,1518,1202,410]"
489,"[1096,453,1000,425,1117]"
490,"[1915,1042,1884,340,1060]"
491,"[1549,1551,862,1645,19]"
492,"[372,368,400,363,1125]"
493,"[1068,1886,1869,1649,353]"
494,"[1733,412,455,411,372]"
495,"[101,922,796,1894,102]"
496,"[758,1907,1699,296,120]"
497,"[116,455,1694,98,868]"
498,"[1033,922,1041,1034,1193]"
499,"[692,1610,1192,455,412]"
500,"[1767,360,1048,329,459]"
501,"[292,126,1125,8,35]"
502,"[618,1030,455,868,462]"
503,"[679,682,651,859,344]"
504,"[1193,921,1025,1029,1909]"
505,"[477,367,1019,340,779]"
506,"[1617,1588,927,1906,1934]"
507,"[1936,1277,1295,823,1649]"
508,"[1858,1867,1859,1862,903]"
509,"[1574,1041,785,1898,49]"
510,"[891,1619,1034,1917,1033]"
511,"[114,1611,1113,455,372]"
512,"[1098,372,132,1185,1202]"
513,"[618,1248,412,1676,612]"
514,"[1056,1794,1607,773,1251]"
515,"[1034,927,1193,1921,1028]"
516,"[1733,455,412,1884,408]"
517,"[1733,455,1263,412,1676]"
518,"[1909,1037,1620,1752,1042]"
519,"[1727,108,1731,1171,1728]"
520,"[420,1067,1884,788,108]"
521,[]
522,"[71,1675,1248,671,920]"
523,"[677,1026,1676,980,921]"
524,"[1766,1923,1765,1777,1263]"
525,"[618,116,1748,455,365]"
526,"[1609,1011,1639,79,289]"
527,"[1202,410,258,206,914]"
528,"[313,1613,257,1056,143]"
529,"[388,1248,304,1169,1814]"
530,"[1899,1892,1898,49,88]"
531,"[1079,773,331,373,1202]"
532,"[116,612,455,1239,618]"
533,"[455,1733,412,411,368]"
534,"[1017,265,1030,1086,1907]"
535,"[505,1858,1867,1859,1862]"
536,"[496,718,481,1607,1808]"
537,"[116,455,618,786,1750]"
538,"[395,98,868,265,1748]"
539,"[259,224,1202,410,1153]"
540,"[349,116,455,1676,1619]"
541,"[1073,866,806,692,1028]"
542,"[1040,1127,692,371,1611]"
543,"[1676,412,618,116,411]"
544,"[1193,1907,560,478,1618]"
545,"[1506,1474,501,1421,1490]"
546,"[1202,410,1557,1653,1018]"
547,"[1073,866,806,692,1028]"
548,"[453,495,78,89,1561]"
549,"[1125,455,901,900,109]"
550,"[1749,1148,1202,410,1526]"
551,"[1915,618,1676,412,612]"
552,"[1056,862,1618,1066,455]"
553,"[765,773,373,368,1662]"
554,"[1157,501,1773,1775,1769]"
555,"[1639,190,19,39,7]"
556,"[190,455,454,1045,1017]"
557,"[1618,819,922,1157,109]"
558,"[1071,1924,1750,102,98]"
559,"[811,1071,1913,1674,1927]"
560,"[1775,1769,1768,1842,1843]"
561,"[116,455,618,125,114]"
562,"[1900,1037,1543,1018,1344]"
563,"[1516,255,1104,370,1748]"
564,"[1924,786,1884,116,868]"
565,"[1042,886,1037,1193,1049]"
566,"[1043,1913,1017,1018,1091]"
567,"[692,1516,301,1537,339]"
568,"[677,376,868,1748,1900]"
569,"[1618,862,455,368,98]"
570,"[1904,1607,18,1587,257]"
571,"[1191,1916,1910,106,1692]"
572,"[1733,1909,862,1029,921]"
573,"[1676,113,455,618,116]"
574,"[135,274,321,114,1157]"
575,"[618,1676,412,113,114]"
576,"[625,780,778,1871,84]"
577,"[1645,510,1486,1551,816]"
578,"[1025,165,113,612,618]"
579,"[1041,1900,106,113,258]"
580,"[260,198,359,223,136]"
581,"[1319,390,256,259,927]"
582,"[1133,1550,394,1249,409]"
583,"[1616,1745,1519,1075,1671]"
584,"[1611,114,1113,1884,1617]"
585,"[18,1904,868,1748,1598]"
586,"[618,125,860,1676,116]"
587,"[1694,116,618,868,1748]"
588,"[1042,886,1193,1909,1030]"
589,"[1025,165,921,890,1586]"
590,"[394,1142,1135,1284,123]"
591,"[1190,116,1921,1884,381]"
592,"[68,363,113,991,1811]"
593,"[990,261,1842,1843,230]"
594,"[878,922,116,501,397]"
595,"[1917,891,697,1125,408]"
596,"[1116,1910,128,309,1399]"
597,"[18,1598,1904,1618,1608]"
598,"[1808,868,692,309,1748]"
599,"[510,114,108,1721,212]"
600,"[412,411,618,455,116]"
601,"[481,1202,410,1765,1777]"
602,"[1742,1543,1763,1548,1546]"
603,[]
604,"[440,376,1158,478,375]"
605,"[1042,1037,1041,1030,1916]"
606,"[1909,1193,1752,1326,1029]"
607,"[718,368,496,108,1607]"
608,"[677,114,1611,1710,1113]"
609,"[618,412,1676,612,1924]"
610,"[394,1142,83,1135,1861]"
611,"[661,1057,388,1022,1576]"
612,"[692,116,113,455,1676]"
613,"[455,114,116,113,1676]"
614,"[788,108,778,544,786]"
615,"[677,1765,1777,1763,1754]"
616,"[455,412,128,396,1008]"
617,"[1555,409,1290,102,108]"
618,"[990,261,1842,1843,230]"
619,"[1936,1277,1295,1638,1935]"
620,"[1516,857,1603,400,1898]"
621,"[98,409,1639,102,96]"
622,"[731,1075,823,1131,265]"
623,"[1134,379,108,116,824]"
624,"[788,108,265,1070,1132]"
625,"[1676,412,1248,411,618]"
626,"[618,1694,116,24,692]"
627,"[891,190,1639,1932,1034]"
628,"[374,761,400,1677,1040]"
629,"[1780,527,523,1897,1922]"
630,"[1121,455,1022,454,1076]"
631,"[1694,1193,1034,1041,1574]"
632,"[455,1306,1064,1153,116]"
633,"[677,1768,1775,1769,698]"
634,"[1924,478,1067,128,90]"
635,"[1193,1694,1574,417,116]"
636,"[1570,372,369,1557,374]"
637,"[1202,410,1263,1041,1902]"
638,"[1733,455,412,1204,1001]"
639,"[679,1506,1474,1874,1872]"
640,"[1599,356,353,1036,1017]"
641,"[501,1809,1756,954,1765]"
642,"[1043,1026,258,1051,997]"
643,"[288,1913,458,964,621]"
644,"[116,1694,1639,455,868]"
645,"[496,718,481,1607,1808]"
646,"[90,822,666,643,848]"
647,"[340,162,919,911,209]"
648,"[1762,1758,1612,1926,1898]"
649,"[90,822,666,848,643]"
650,"[1570,1608,1157,372,1607]"
651,"[1890,1884,1191,406,407]"
652,"[990,956,1591,1912,271]"
653,"[309,128,1067,116,1642]"
654,"[1618,409,1244,423,1808]"
655,"[1909,1809,1193,1752,1326]"
656,"[455,1733,454,128,1157]"
657,"[1617,1896,1157,1722,257]"
658,"[116,455,1884,462,1249]"
659,"[454,455,1224,1113,1592]"
660,"[116,1694,618,868,1748]"
661,"[1225,1364,1322,1324,115]"
662,"[1924,1655,1160,663,478]"
663,"[114,692,1662,1297,1113]"
664,"[1067,135,1040,884,1032]"
665,"[688,355,19,39,666]"
666,"[612,1676,1248,414,89]"
667,"[7,856,1915,698,1659]"
668,"[381,439,223,257,992]"
669,"[1926,1931,445,1030,126]"
670,"[616,1040,618,1915,7]"
671,"[116,1694,868,125,618]"
672,"[1042,886,1909,885,1037]"
673,"[1011,275,1121,1066,368]"
674,"[90,822,666,848,643]"
675,"[1741,190,1099,1861,1605]"
676,[]
677,"[1917,388,1134,891,393]"
678,"[1733,412,1610,1675,1639]"
679,"[1733,411,412,125,1187]"
680,"[1618,819,1157,922,1907]"
681,[1067]
682,"[108,368,1570,1190,80]"
683,"[1168,1123,250,964,394]"
684,"[1366,1481,109,1040,631]"
685,"[1769,1768,1775,698,1042]"
686,"[1297,729,732,1011,351]"
687,"[824,823,1279,722,374]"
688,"[890,1042,921,1675,1248]"
689,"[1588,862,455,454,1]"
690,"[288,952,142,29,195]"
691,"[1028,1025,1193,165,921]"
692,"[1699,1697,1696,628,1675]"
693,"[116,128,1066,309,1064]"
694,"[1068,1700,1067,1183,319]"
695,"[687,1676,1299,1255,1699]"
696,"[455,510,114,454,32]"
697,"[583,584,581,554,569]"
698,"[688,481,89,1444,718]"
699,"[1617,718,1201,1924,1722]"
700,[]
701,"[89,481,1602,1026,135]"
702,"[666,633,637,642,651]"
703,"[1157,501,1773,1775,1769]"
704,"[1042,886,1193,1909,1680]"
705,"[1733,412,1224,1755,990]"
706,"[290,455,116,1085,618]"
707,"[1153,255,1064,1884,1713]"
708,"[889,116,1694,24,781]"
709,"[335,1713,705,674,887]"
710,"[693,692]"
711,"[290,1935,927,1526,1936]"
712,"[1618,1775,1769,1768,106]"
713,"[612,1676,1248,1239,416]"
714,"[421,1603,1551,417,1537]"
715,"[1654,1653,812,1072,1926]"
716,"[60,368,1113,339,455]"
717,"[890,1050,618,1676,926]"
718,"[1263,1125,1655,1202,410]"
719,"[1112,255,992,285,219]"
720,"[832,346,23,605,19]"
721,"[1572,114,390,1115,1176]"
722,"[609,887,954,1073,1060]"
723,"[1900,294,1119,1543,910]"
724,"[1570,372,374,1557,369]"
725,"[1570,372,1607,1608,1157]"
726,"[868,1656,1748,1193,1612]"
727,"[677,376,377,23,368]"
728,"[1040,455,1067,1068,341]"
729,"[990,347,339,1690,1277]"
730,"[501,1765,1777,1809,1506]"
731,"[90,822,666,643,848]"
732,"[372,1157,1072,368,1608]"
733,"[878,922,1269,101,1915]"
734,"[697,1599,688,1043,1576]"
735,"[1034,919,470,620,1041]"
736,[]
737,"[1694,116,1638,922,1750]"
738,"[454,903,1113,398,455]"
739,"[1607,114,135,1098,372]"
740,"[692,846,1726,693,1662]"
741,"[455,1067,1040,454,1042]"
742,"[1183,1244,423,1198,642]"
743,[]
744,"[1574,1770,1034,1041,602]"
745,"[89,455,796,1884,1675]"
746,"[455,368,862,1113,1]"
747,"[1618,113,1676,455,612]"
748,"[1917,1197,1134,116,1130]"
749,"[697,1599,1043,688,1576]"
750,"[1185,372,1794,1098,627]"
751,"[1042,886,1193,1909,1752]"
752,"[1733,412,455,411,128]"
753,"[1924,786,1884,116,868]"
754,"[98,1067,339,379,116]"
755,"[1158,331,1186,743,751]"
756,"[292,1588,1926,74,1529]"
757,"[1001,936,1077,868,89]"
758,"[1281,437,295,1096,799]"
759,"[618,990,1041,1034,1666]"
760,"[1042,1193,886,1909,1752]"
761,"[1042,886,1193,1909,537]"
762,"[496,481,1917,718,1680]"
763,"[1814,1813,1816,1817,1818]"
764,"[109,692,1726,455,1662]"
765,"[677,377,376,990,675]"
766,"[891,1108,858,349,1088]"
767,"[1193,1762,1907,1758,1612]"
768,"[687,688,693,674,667]"
769,"[1733,1574,408,1034,412]"
770,[]
771,"[868,1748,1193,455,1656]"
772,"[1742,1541,1564,1489,1554]"
773,"[1891,1894,1453,1620,1520]"
774,"[1044,1537,1896,698,291]"
775,"[1040,1127,371,692,1129]"
776,"[1042,1193,1909,1037,886]"
777,"[257,368,372,1098,363]"
